sequence_id,surface_id,direction,frames,state_counts,compressed_state_sequence,initial_in_frames,confirmed_straddle_frames,unknown_ratio,coverage_monotonic,max_reverse_coverage_jump,directional_contour,orientation_locked,stop_after_confirmed_straddle,world_estimate_count,world_median_spread_m,surface_horizontal_median_spread_m,surface_vertical_median_spread_m,raw_path
surface_sigma/MASK-1/10m/LEFT,surface_sigma,LEFT,13,"{""IN"": 3, ""APPROACH"": 7, ""STRADDLE"": 3, ""UNKNOWN"": 0, ""OUT"": 0}","[""IN"", ""APPROACH"", ""STRADDLE""]",3,3,0.0,True,0.0,True,True,True,3,4.440561805665492,0.0013134181499481201,4.440561805665492,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/LEFT/trajectory.json
surface_sigma/MASK-1/10m/RIGHT,surface_sigma,RIGHT,13,"{""IN"": 3, ""APPROACH"": 7, ""STRADDLE"": 3, ""UNKNOWN"": 0, ""OUT"": 0}","[""IN"", ""APPROACH"", ""STRADDLE""]",3,3,0.0,True,0.0,True,True,True,3,0.05000782012939453,0.040521605312818565,0.0,results/mask1/raw/surface_sigma/NORMAL_LOCK/10m/RIGHT/trajectory.json
