start_id,direction,step_index,relative_distance_m,frame_id,target_coverage,contour_span_over_target_bbox,contour_median_x_px,boundary_type,boundary_penetration_px,first_physical_termination,model_visible_termination,target_side_fraction,external_side_fraction
start_02,RIGHT,4,2.0,11827,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_02,RIGHT,5,2.5,11831,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_02,RIGHT,6,3.0,11835,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_02,RIGHT,7,3.5,11839,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_02,RIGHT,8,4.0,11843,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_03,LEFT,0,0.0,11847,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_03,LEFT,1,0.5,11851,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_03,LEFT,2,1.0,11855,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_03,LEFT,3,1.5,11859,0.8808658854166667,1.0,4.0,PHYSICAL_TERMINATION,4.0,True,False,1.0,1.0
start_03,LEFT,4,2.0,11863,0.869599609375,1.0,13.0,PHYSICAL_TERMINATION,13.0,True,False,1.0,1.0
start_03,LEFT,5,2.5,11867,0.857822265625,1.0,21.0,PHYSICAL_TERMINATION,21.0,True,False,0.6338028169014085,1.0
start_03,LEFT,6,3.0,11871,0.8466373697916667,1.0,29.0,PHYSICAL_TERMINATION,29.0,True,False,0.6314553990610329,1.0
start_03,LEFT,7,3.5,11875,0.8354654947916667,1.0,38.0,PHYSICAL_TERMINATION,38.0,True,False,0.6314553990610329,1.0
start_03,LEFT,8,4.0,11879,0.8242805989583334,1.0,46.0,PHYSICAL_TERMINATION,46.0,True,False,0.6220657276995305,1.0
start_03,RIGHT,0,0.0,11847,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_03,RIGHT,1,0.5,11883,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_03,RIGHT,2,1.0,11887,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_03,RIGHT,3,1.5,11891,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_03,RIGHT,4,2.0,11895,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_03,RIGHT,5,2.5,11899,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_03,RIGHT,6,3.0,11903,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_03,RIGHT,7,3.5,11907,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_03,RIGHT,8,4.0,11911,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_04,LEFT,0,0.0,11915,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_04,LEFT,1,0.5,11919,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_04,LEFT,2,1.0,11923,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_04,LEFT,3,1.5,11927,0.8781022135416666,1.0,6.0,PHYSICAL_TERMINATION,6.0,True,False,1.0,1.0
start_04,LEFT,4,2.0,11931,0.8669075520833334,1.0,14.0,PHYSICAL_TERMINATION,14.0,True,False,1.0,1.0
start_04,LEFT,5,2.5,11935,0.855693359375,1.0,23.0,PHYSICAL_TERMINATION,23.0,True,True,1.0,1.0
start_04,LEFT,6,3.0,11939,0.8444856770833333,1.0,31.0,PHYSICAL_TERMINATION,31.0,True,True,1.0,1.0
start_04,LEFT,7,3.5,11943,0.83330078125,1.0,39.0,PHYSICAL_TERMINATION,39.0,True,True,1.0,1.0
start_04,LEFT,8,4.0,11947,0.82158203125,1.0,48.0,PHYSICAL_TERMINATION,48.0,True,False,0.6314553990610329,1.0
start_04,RIGHT,0,0.0,11915,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_04,RIGHT,1,0.5,11951,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_04,RIGHT,2,1.0,11955,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_04,RIGHT,3,1.5,11959,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_04,RIGHT,4,2.0,11963,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_04,RIGHT,5,2.5,11967,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_04,RIGHT,6,3.0,11971,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_04,RIGHT,7,3.5,11975,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_04,RIGHT,8,4.0,11979,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_05,LEFT,0,0.0,11983,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_05,LEFT,1,0.5,11987,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_05,LEFT,2,1.0,11991,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_05,LEFT,3,1.5,11995,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_05,LEFT,4,2.0,11999,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_05,LEFT,5,2.5,12003,0.8808723958333333,1.0,4.0,PHYSICAL_TERMINATION,4.0,True,False,1.0,1.0
start_05,LEFT,6,3.0,12007,0.86966796875,1.0,12.0,PHYSICAL_TERMINATION,12.0,True,False,1.0,1.0
start_05,LEFT,7,3.5,12011,0.85845703125,1.0,21.0,PHYSICAL_TERMINATION,21.0,True,True,1.0,1.0
start_05,LEFT,8,4.0,12015,0.8466861979166667,1.0,29.0,PHYSICAL_TERMINATION,29.0,True,False,0.6338028169014085,1.0
start_05,RIGHT,0,0.0,11983,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_05,RIGHT,1,0.5,12019,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_05,RIGHT,2,1.0,12023,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_05,RIGHT,3,1.5,12027,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_05,RIGHT,4,2.0,12031,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_05,RIGHT,5,2.5,12035,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_05,RIGHT,6,3.0,12039,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_05,RIGHT,7,3.5,12043,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_05,RIGHT,8,4.0,12047,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_06,LEFT,0,0.0,12051,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_06,LEFT,1,0.5,12055,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_06,LEFT,2,1.0,12059,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_06,LEFT,3,1.5,12063,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_06,LEFT,4,2.0,12067,0.88642578125,0.4225352112676056,2.0,UNRESOLVED,2.0,False,False,1.0,0.9222222222222223
start_06,LEFT,5,2.5,12071,0.8759375,1.0,8.0,PHYSICAL_TERMINATION,8.0,True,False,1.0,1.0
start_06,LEFT,6,3.0,12075,0.8647233072916667,1.0,16.0,PHYSICAL_TERMINATION,16.0,True,True,1.0,1.0
start_06,LEFT,7,3.5,12079,0.852978515625,1.0,25.0,PHYSICAL_TERMINATION,25.0,True,True,1.0,1.0
start_06,LEFT,8,4.0,12083,0.8417643229166667,1.0,33.0,PHYSICAL_TERMINATION,33.0,True,True,1.0,1.0
start_06,RIGHT,0,0.0,12051,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_06,RIGHT,1,0.5,12087,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
