frame_id,file_type,path,size_bytes,expected_sha256,actual_sha256,status
2538,depth_raw,results/act0r1/raw/left_03_straddle_depth.raw.bin,1228800,c6fe1cac87f54c18d53348941e214f8e77bbd047974ea92aa4d32b8ff9b32f4e,c6fe1cac87f54c18d53348941e214f8e77bbd047974ea92aa4d32b8ff9b32f4e,PASS
2538,depth_m,results/act0r1/raw/left_03_straddle_depth_m.npy,1228928,507992df9b41b6c88221d6d5da4156125128084ec40dca45e1b97ef9d79e4b90,507992df9b41b6c88221d6d5da4156125128084ec40dca45e1b97ef9d79e4b90,PASS
2538,semantic,results/act0r1/raw/left_03_straddle_semantic_raw.png,3230,5e380c4fad9592a8899916cf5713176f6365b2cd18d559f7df6a66203d47293c,5e380c4fad9592a8899916cf5713176f6365b2cd18d559f7df6a66203d47293c,PASS
2538,instance,results/act0r1/raw/left_03_straddle_instance_raw.png,3891,f86d03e71a2d3bf6bfaed5273122918cc8a8abedd70254801e79833f8f795ab6,f86d03e71a2d3bf6bfaed5273122918cc8a8abedd70254801e79833f8f795ab6,PASS
2538,metadata,results/act0r1/raw/left_03_straddle.json,3604,,b9d291709bf73818ddd3beadfcad53d5bdb747822d4920ca032405f6cdc67735,PASS
2542,rgb_bgra,results/act0r1/raw/left_04_straddle_repeat_1_rgb.bgra.bin,1228800,a1aea9425cb0cdca229c9aa1a589e35fc9c495994f3c5b0e88d85c1c5958df06,a1aea9425cb0cdca229c9aa1a589e35fc9c495994f3c5b0e88d85c1c5958df06,PASS
2542,rgb,results/act0r1/raw/left_04_straddle_repeat_1_rgb.png,570916,e0a54a9c429cbaa13f300673c4fa51e11680efb2db31c055b01518f6e921960f,e0a54a9c429cbaa13f300673c4fa51e11680efb2db31c055b01518f6e921960f,PASS
2542,depth_raw,results/act0r1/raw/left_04_straddle_repeat_1_depth.raw.bin,1228800,c6fe1cac87f54c18d53348941e214f8e77bbd047974ea92aa4d32b8ff9b32f4e,c6fe1cac87f54c18d53348941e214f8e77bbd047974ea92aa4d32b8ff9b32f4e,PASS
2542,depth_m,results/act0r1/raw/left_04_straddle_repeat_1_depth_m.npy,1228928,507992df9b41b6c88221d6d5da4156125128084ec40dca45e1b97ef9d79e4b90,507992df9b41b6c88221d6d5da4156125128084ec40dca45e1b97ef9d79e4b90,PASS
2542,semantic,results/act0r1/raw/left_04_straddle_repeat_1_semantic_raw.png,3230,5e380c4fad9592a8899916cf5713176f6365b2cd18d559f7df6a66203d47293c,5e380c4fad9592a8899916cf5713176f6365b2cd18d559f7df6a66203d47293c,PASS
2542,instance,results/act0r1/raw/left_04_straddle_repeat_1_instance_raw.png,3891,f86d03e71a2d3bf6bfaed5273122918cc8a8abedd70254801e79833f8f795ab6,f86d03e71a2d3bf6bfaed5273122918cc8a8abedd70254801e79833f8f795ab6,PASS
2542,metadata,results/act0r1/raw/left_04_straddle_repeat_1.json,3690,,f3cd4c7878b1acc09e523cec071eb7a0251a3e9610adb833dfcfe8277f72fe63,PASS
2546,rgb_bgra,results/act0r1/raw/left_05_straddle_repeat_2_rgb.bgra.bin,1228800,46577b644bd1cfc389931c637400169010e41e1c95fcb01a7b7fbe7562d1ebad,46577b644bd1cfc389931c637400169010e41e1c95fcb01a7b7fbe7562d1ebad,PASS
2546,rgb,results/act0r1/raw/left_05_straddle_repeat_2_rgb.png,564524,fdcfd344f3d647b30334962966bfc990e5a289b7522e8fe22474cee6a2333dae,fdcfd344f3d647b30334962966bfc990e5a289b7522e8fe22474cee6a2333dae,PASS
