left_index,right_index,left_direction,right_direction,left_step,right_step,remaining_distance_gap_m,aligned_ssim,phase_shift_px,cross_direction
0,1,LEFT,LEFT,0,1,0.5,0.13051519629306824,7.427780814411938,False
0,2,LEFT,LEFT,0,2,1.0,0.25170733570604104,14.860455125238527,False
0,3,LEFT,LEFT,0,3,1.5,0.3188455881683746,22.15322264506895,False
0,4,LEFT,LEFT,0,4,2.0,0.14000292144259166,29.550165845868204,False
0,5,LEFT,LEFT,0,5,2.5,0.6131294652554163,36.91741558317504,False
0,6,LEFT,LEFT,0,6,3.0,0.13178111982526997,44.31190739448573,False
0,7,LEFT,LEFT,0,7,3.5,0.20114376696152902,51.65020009515808,False
0,8,LEFT,LEFT,0,8,4.0,0.2821872379847928,58.929441975664965,False
0,9,LEFT,LEFT,0,9,4.5,0.10704797752225383,66.27938575695039,False
0,10,LEFT,RIGHT,0,0,0.0,0.9998166498923406,0.0018477299670645482,True
0,11,LEFT,RIGHT,0,1,0.5,0.12371012046593693,7.3839110224531055,True
0,12,LEFT,RIGHT,0,2,1.0,0.24521487740456613,14.76378942948713,True
0,13,LEFT,RIGHT,0,3,1.5,0.2833622187998512,22.147110563510026,True
0,14,LEFT,RIGHT,0,4,2.0,0.11864143866958035,29.423394648778316,True
0,15,LEFT,RIGHT,0,5,2.5,0.5590365508192795,36.83963080961319,True
0,16,LEFT,RIGHT,0,6,3.0,0.0998235915209406,44.092759610331065,True
0,17,LEFT,RIGHT,0,7,3.5,0.22147568919495153,51.51533789395956,True
0,18,LEFT,RIGHT,0,8,4.0,0.2828557947756734,58.99905998001323,True
0,19,LEFT,RIGHT,0,9,4.5,0.11763112754171215,66.49735903903054,True
1,2,LEFT,LEFT,1,2,0.5,0.1283522026018832,7.444250164194082,False
1,3,LEFT,LEFT,1,3,1.0,0.26136770171319085,14.710025681261957,False
1,4,LEFT,LEFT,1,4,1.5,0.3268364913452799,22.104002858632175,False
1,5,LEFT,LEFT,1,5,2.0,0.13264475266481981,29.46277793741001,False
1,6,LEFT,LEFT,1,6,2.5,0.6499662824232505,36.84411669227654,False
1,7,LEFT,LEFT,1,7,3.0,0.17182457272182744,44.28714119192746,False
1,8,LEFT,LEFT,1,8,3.5,0.25190011958730724,51.459625866093866,False
1,9,LEFT,LEFT,1,9,4.0,0.32748514565265247,58.8914257564097,False
1,10,LEFT,RIGHT,1,0,0.5,0.13113574376484288,7.432383369960292,True
1,11,LEFT,RIGHT,1,1,0.0,0.25372358393626254,14.787441100735077,True
1,12,LEFT,RIGHT,1,2,0.5,0.2813369339243804,22.284414178407893,True
1,13,LEFT,RIGHT,1,3,1.0,0.116042184486877,29.576864331468954,True
1,14,LEFT,RIGHT,1,4,1.5,0.5691678125217177,36.98526809917238,True
1,15,LEFT,RIGHT,1,5,2.0,0.09138602179872697,44.2679178643051,True
1,16,LEFT,RIGHT,1,6,2.5,0.20619033870389394,51.73185008814738,True
1,17,LEFT,RIGHT,1,7,3.0,0.31360535852376514,59.03317251805469,True
1,18,LEFT,RIGHT,1,8,3.5,0.126292631167905,66.1711294879118,True
1,19,LEFT,RIGHT,1,9,4.0,0.6110233600741654,0.012710270337987023,True
2,3,LEFT,LEFT,2,3,0.5,0.13409147264628984,7.386528643673439,False
2,4,LEFT,LEFT,2,4,1.0,0.2651194490118417,14.647841967150203,False
2,5,LEFT,LEFT,2,5,1.5,0.3451718464009415,22.126287909940142,False
2,6,LEFT,LEFT,2,6,2.0,0.13102676991393827,29.399644269271892,False
2,7,LEFT,LEFT,2,7,2.5,0.6378826032763355,36.795928466853894,False
2,8,LEFT,LEFT,2,8,3.0,0.1357323442609157,44.1779818121914,False
2,9,LEFT,LEFT,2,9,3.5,0.20664290744373837,51.44277261846078,False
2,10,LEFT,RIGHT,2,0,1.0,0.240265784214054,14.860348412368968,True
2,11,LEFT,RIGHT,2,1,0.5,0.3139249010683033,22.23581289180166,True
2,12,LEFT,RIGHT,2,2,0.0,0.13438821175298432,29.654881219744507,True
2,13,LEFT,RIGHT,2,3,0.5,0.5818959810443884,37.02286355305092,True
2,14,LEFT,RIGHT,2,4,1.0,0.12041211072707554,44.316219761996976,True
2,15,LEFT,RIGHT,2,5,1.5,0.2005775543339651,51.79226417037231,True
2,16,LEFT,RIGHT,2,6,2.0,0.2750698752490849,14.51849772153795,True
2,17,LEFT,RIGHT,2,7,2.5,0.15523014025696774,66.47803412449917,True
2,18,LEFT,RIGHT,2,8,3.0,0.6299834805023498,0.2707846515785894,True
2,19,LEFT,RIGHT,2,9,3.5,0.10488142363450623,7.3998029151361955,True
3,4,LEFT,LEFT,3,4,0.5,0.137788225702569,7.4103312269832955,False
3,5,LEFT,LEFT,3,5,1.0,0.26169891636556575,14.704071472674482,False
3,6,LEFT,LEFT,3,6,1.5,0.3140401610346988,22.064431382929744,False
3,7,LEFT,LEFT,3,7,2.0,0.11061056670236631,29.3796993471299,False
3,8,LEFT,LEFT,3,8,2.5,0.6173314416270922,36.70045860153034,False
3,9,LEFT,LEFT,3,9,3.0,0.12377402961298567,44.1783459865351,False
3,10,LEFT,RIGHT,3,0,1.5,0.3090101910195432,22.156428646443548,True
3,11,LEFT,RIGHT,3,1,1.0,0.12971165794417394,29.51307404003886,True
3,12,LEFT,RIGHT,3,2,0.5,0.5660171402678343,36.99894711539634,True
3,13,LEFT,RIGHT,3,3,0.0,0.11205382481970501,44.426135513035845,True
3,14,LEFT,RIGHT,3,4,0.5,0.16505539049340753,51.7336868197953,True
3,15,LEFT,RIGHT,3,5,1.0,0.2550159749419709,59.138941119540306,True
3,16,LEFT,RIGHT,3,6,1.5,0.09940353834734891,66.55312780923222,True
3,17,LEFT,RIGHT,3,7,2.0,0.6370002818291257,0.3138472616996318,True
3,18,LEFT,RIGHT,3,8,2.5,0.11006000718957064,7.820948402347784,True
3,19,LEFT,RIGHT,3,9,3.0,0.19980878545083006,14.849414996704867,True
4,5,LEFT,LEFT,4,5,0.5,0.1466457369511238,7.476947074336577,False
4,6,LEFT,LEFT,4,6,1.0,0.24849157235875424,14.726561277170953,False
4,7,LEFT,LEFT,4,7,1.5,0.2968560953879363,22.150766426153346,False
4,8,LEFT,LEFT,4,8,2.0,0.14967688824121964,29.304114136812938,False
4,9,LEFT,LEFT,4,9,2.5,0.6508037097000823,36.758225362775086,False
4,10,LEFT,RIGHT,4,0,2.0,0.17752327093492137,29.550872940950075,True
4,11,LEFT,RIGHT,4,1,1.5,0.6369873169956021,36.893650455266815,True
4,12,LEFT,RIGHT,4,2,1.0,0.17853120300251668,44.33616017732621,True
4,13,LEFT,RIGHT,4,3,0.5,0.24052071048839196,51.7056178807051,True
4,14,LEFT,RIGHT,4,4,0.0,0.3336274550826291,58.95888571422674,True
4,15,LEFT,RIGHT,4,5,0.5,0.17122066700049943,66.24202079038508,True
4,16,LEFT,RIGHT,4,6,1.0,0.6621990678255758,0.36986302365383544,True
4,17,LEFT,RIGHT,4,7,1.5,0.10836562571213951,7.635073416474829,True
4,18,LEFT,RIGHT,4,8,2.0,0.22392041078754374,15.064181659369085,True
4,19,LEFT,RIGHT,4,9,2.5,0.23804834380270146,22.064350381940844,True
5,6,LEFT,LEFT,5,6,0.5,0.14097198240798087,7.381065161829568,False
5,7,LEFT,LEFT,5,7,1.0,0.2391905357656863,14.64148287373086,False
5,8,LEFT,LEFT,5,8,1.5,0.2435671164144997,22.055254655332863,False
5,9,LEFT,LEFT,5,9,2.0,0.12602561985263325,29.32132299428246,False
5,10,LEFT,RIGHT,5,0,2.5,0.5451955799285544,36.922882899666476,True
5,11,LEFT,RIGHT,5,1,2.0,0.12112948535261472,44.34891138403294,True
5,12,LEFT,RIGHT,5,2,1.5,0.1645609777176971,51.73369099617026,True
5,13,LEFT,RIGHT,5,3,1.0,0.2631870610675847,59.18000844030291,True
5,14,LEFT,RIGHT,5,4,0.5,0.09736402116148671,66.35895392172888,True
5,15,LEFT,RIGHT,5,5,0.0,0.6436520354685802,0.5201161350887875,True
5,16,LEFT,RIGHT,5,6,0.5,0.10781616138812178,7.9942690413147695,True
5,17,LEFT,RIGHT,5,7,1.0,0.2392628774696504,15.27825732671022,True
5,18,LEFT,RIGHT,5,8,1.5,0.2881462697383764,22.712614060247965,True
5,19,LEFT,RIGHT,5,9,2.0,0.11165726412645503,29.790133701367548,True
6,7,LEFT,LEFT,6,7,0.5,0.18028152315389975,7.3391513642589965,False
6,8,LEFT,LEFT,6,8,1.0,0.29789944864945916,14.670971145460568,False
6,9,LEFT,LEFT,6,9,1.5,0.2767504901040461,22.067831278696243,False
6,10,LEFT,RIGHT,6,0,3.0,0.14925155319069172,44.313963291085805,True
