rank_key,left_index,right_index,left_trajectory,right_trajectory,left_step,right_step,remaining_distance_gap_m,cross_direction,raw_ssim,phase_aligned_ssim,phase_shift_px,hog_cosine,color_histogram_distance
0.9998166498923406,0,10,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/RIGHT,0,0,0.0,True,0.9998166498923406,0.9998166498923406,0.0018477299670645482,0.9995509555872187,0.008308511227369308
0.9813542855000796,14,15,surface_sigma/MASK-1/10m/RIGHT,surface_sigma/MASK-1/10m/RIGHT,4,5,0.5,False,0.14120331736467995,0.9813542855000796,7.332414281603358,0.9587266059577513,0.0044311522506177425
0.9807193770103222,1,2,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/LEFT,1,2,0.5,False,0.16835365864439714,0.9807193770103222,7.444250164194082,0.9648972685789633,0.006736651994287968
0.9793434743479211,5,6,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/LEFT,5,6,0.5,False,0.158904925762034,0.9793434743479211,7.381065161829568,0.9587658428481884,0.0053139240480959415
0.9774438067177007,16,17,surface_sigma/MASK-1/10m/RIGHT,surface_sigma/MASK-1/10m/RIGHT,6,7,0.5,False,0.15959242891810732,0.9774438067177007,7.361647420404075,0.9609349889411914,0.005096436012536287
0.9766141816895064,15,16,surface_sigma/MASK-1/10m/RIGHT,surface_sigma/MASK-1/10m/RIGHT,5,6,0.5,False,0.16186019850714317,0.9766141816895064,7.241560615766498,0.9417490214483012,0.004752196371555328
0.974986917838077,3,4,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/LEFT,3,4,0.5,False,0.1704130545051723,0.974986917838077,7.4103312269832955,0.9255982616317464,0.004552002996206284
0.9744914007969753,11,12,surface_sigma/MASK-1/10m/RIGHT,surface_sigma/MASK-1/10m/RIGHT,1,2,0.5,False,0.15315826744411362,0.9744914007969753,7.3350838671353795,0.9711095505970057,0.006245524622499943
0.9739696393777998,1,11,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/RIGHT,1,1,0.0,True,0.13160262999971584,0.9739696393777998,14.787441100735077,0.9490504729079685,0.00776102626696229
0.9737128850253145,14,16,surface_sigma/MASK-1/10m/RIGHT,surface_sigma/MASK-1/10m/RIGHT,4,6,1.0,False,0.12739936415728528,0.9737128850253145,14.688309187524842,0.9474759725816969,0.0076704914681613445
0.9700678195389826,2,4,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/LEFT,2,4,1.0,False,0.12776984819397336,0.9700678195389826,14.647841967150203,0.9391890323299988,0.008806358091533184
0.96117088674339,12,13,surface_sigma/MASK-1/10m/RIGHT,surface_sigma/MASK-1/10m/RIGHT,2,3,0.5,False,0.1500266236822419,0.96117088674339,7.331857989762279,0.9610159695233993,0.005550130270421505
0.9581101107975256,11,13,surface_sigma/MASK-1/10m/RIGHT,surface_sigma/MASK-1/10m/RIGHT,1,3,1.0,False,0.12279865170285227,0.9581101107975256,14.76025876626133,0.9615123161874298,0.010355224832892418
0.9574509888537855,17,19,surface_sigma/MASK-1/10m/RIGHT,surface_sigma/MASK-1/10m/RIGHT,7,9,1.0,False,0.11033364863161665,0.9574509888537855,14.81003519033861,0.9489073561431183,0.007946370169520378
